Function	Count	Inclusive Time (ms)	Inclusive Time %	Exclusive Time (ms)	Exclusive Time %	Avg Time (ms)	Max Time (ms)	Min Time (ms)	URL	Line Number
regHandle	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-dd-debug.js?t=20111007011423	"1,546"
JScript - window script block	3	29	0.7	0	0	9.67	29	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"9,266"
syncHeight	11	10	0.24	0	0	0.91	4	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"9,184"
getToolbarHeight	11	3	0.07	0	0	0.27	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"9,509"
JScript - window script block	11	1	0.02	0	0	0.09	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"9,512"
register	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/window-debug.js?t=20111007011424	"1,061"
unregister	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/window-debug.js?t=20111007011424	"1,078"
removeListener	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"2,078"
remove	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	499
getKeyMap	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"9,250"
KeyMap	2	1	0.02	0	0	0.5	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"13,672"
enable	4	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"13,837"
on	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"13,796"
addBinding	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"13,724"
disable	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"13,847"
addKeyListener	1	1	0.02	0	0	1	1	1	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"7,505"
getDisplay	31	1	0.02	0	0	0.03	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"7,058"
setIcon	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/window-debug.js?t=20111007011424	"1,593"
replaceClass	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"5,722"
updateButtons	1	54.01	1.3	0	0	54.01	54.01	54.01	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/window-debug.js?t=20111007011424	"1,254"
JScript - window script block	4	54.01	1.3	0	0	13.5	22	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/window-debug.js?t=20111007011424	"1,264"
hide	30	127.01	3.06	0	0	4.23	101.01	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"1,630"
setVisible	5	5	0.12	0	0	1	5	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"1,661"
updateProgress	1	2	0.05	0	0	2	2	2	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/window-debug.js?t=20111007011424	"1,401"
updateText	1	18	0.43	0	0	18	18	18	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/window-debug.js?t=20111007011424	"1,360"
getMargins	4	1	0.02	0	0	0.25	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"6,397"
center	1	3	0.07	0	0	3	3	3	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/window-debug.js?t=20111007011424	940
adjustPosition	11	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"3,361"
setAnimateTarget	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/window-debug.js?t=20111007011424	465
show	1	179.02	4.31	0	0	179.02	179.02	179.02	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/window-debug.js?t=20111007011424	501
beforeShow	1	158.02	3.8	0	0	158.02	158.02	158.02	http://pl-l01899/SaaS/scripts/ext.frs/frs.31x.js?t=20120223125400	615
expand	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"9,376"
getDocumentHeight	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	"1,036"
getSize	2	2	0.05	0	0	1	2	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"3,143"
afterShow	1	21	0.51	0	0	21	21	21	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/window-debug.js?t=20111007011424	529
doConstrain	1	3	0.07	0	0	3	3	3	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/window-debug.js?t=20111007011424	661
JScript - window script block	3	11	0.27	0	0	3.67	10	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"9,177"
toFront	2	2	0.05	0	0	1	2	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/window-debug.js?t=20111007011424	900
bringToFront	2	2	0.05	0	0	1	2	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/window-debug.js?t=20111007011424	"1,100"
get	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/window-debug.js?t=20111007011424	"1,090"
orderWindows	1	2	0.05	0	0	2	2	2	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/window-debug.js?t=20111007011424	"1,002"
Array.sort	1	0	0	0	0	0	0	0		0
setZIndex	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/window-debug.js?t=20111007011424	840
setZIndex	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"2,618"
setZIndex	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"2,788"
activateLast	2	2	0.05	0	0	1	2	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/window-debug.js?t=20111007011424	"1,031"
setActiveWin	2	2	0.05	0	0	1	2	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/window-debug.js?t=20111007011424	"1,018"
setActive	2	2	0.05	0	0	1	2	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/window-debug.js?t=20111007011424	915
enableShadow	1	2	0.05	0	0	2	2	2	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"2,280"
focus	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/window-debug.js?t=20111007011424	446
updateHandles	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/window-debug.js?t=20111007011424	422
JScript - window script block	2	358.04	8.62	0	0	179.02	358.04	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"2,206"
removeListener	5	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"2,287"
JScript - window script block	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/window-debug.js?t=20111007011424	"1,564"
JScript - window script block	1	312.03	7.51	0	0	312.03	312.03	312.03	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	439
handleButton	1	312.03	7.51	0	0	312.03	312.03	312.03	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/window-debug.js?t=20111007011424	"1,225"
blur	1	158.02	3.8	0	0	158.02	158.02	158.02	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-buttons-debug.js?t=20111007011423	683
hide	1	26	0.63	0	0	26	26	26	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/window-debug.js?t=20111007011424	582
afterHide	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/window-debug.js?t=20111007011424	607
removeResizeListener	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"3,395"
disableShadow	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"2,271"
handleHide	1	128.01	3.08	0	0	128.01	128.01	128.01	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/window-debug.js?t=20111007011424	"1,235"
reset	1	128.01	3.08	0	0	128.01	128.01	128.01	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"11,917"
callback	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	823
onBlur	3	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-buttons-debug.js?t=20111007011423	694
handleMouseDown	1	1	0.02	0	0	1	1	1	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-dd-debug.js?t=20111007011423	838
isLocked	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-dd-debug.js?t=20111007011423	827
isLocked	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-dd-debug.js?t=20111007011423	"1,409"
refreshCache	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-dd-debug.js?t=20111007011423	"2,034"
isTypeOfDD	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-dd-debug.js?t=20111007011423	"1,624"
getLocation	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-dd-debug.js?t=20111007011423	"2,097"
isOverTarget	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-dd-debug.js?t=20111007011423	"2,134"
clickValidator	1	1	0.02	0	0	1	1	1	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-dd-debug.js?t=20111007011423	871
isValidHandleChild	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-dd-debug.js?t=20111007011423	955
String.toUpperCase	4	0	0	0	0	0	0	0		0
isHandle	24	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-dd-debug.js?t=20111007011423	"1,637"
handleHdMove	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"2,827"
findHeaderCell	3	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"1,493"
findCell	3	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"1,460"
fly	6	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"1,403"
eval code	1	0	0	0	0	0	0	0		0
f	6	0	0	0	0	0	0	0		0
getCellIndex	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"1,482"
getIndexById	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"3,541"
isMenuDisabled	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"3,621"
eval code	1	0	0	0	0	0	0	0		0
f	1	0	0	0	0	0	0	0		0
handleHdOut	1	1	0.02	0	0	1	1	1	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"2,847"
eval code	1	0	0	0	0	0	0	0		0
f	13	1	0.02	0	0	0.08	1	0		0
JScript - window script block	6	8	0.19	0	0	1.33	2	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"6,374"
doFocus	2	3	0.07	0	0	1.5	2	1	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-menu-debug.js?t=20111007011424	565
deferExpand	1	76.01	1.83	0	0	76.01	76.01	76.01	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-menu-debug.js?t=20111007011424	"1,393"
hide	3	101.01	2.43	0	0	33.67	101.01	2	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-menu-debug.js?t=20111007011424	575
onBeforeHide	3	2	0.05	0	0	0.67	2	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-menu-debug.js?t=20111007011424	838
onHide	3	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-menu-debug.js?t=20111007011424	812
remove	4	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"11,787"
indexOf	7	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"11,834"
removeAt	8	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"11,796"
onMenuHide	1	1	0.02	0	0	1	1	1	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-buttons-debug.js?t=20111007011423	725
onButtonMenuHide	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-toolbars-debug.js?t=20111007011424	664
restoreClick	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-buttons-debug.js?t=20111007011423	733
applyPendingUpdates	2	31	0.75	0	0	15.5	17	14	http://pl-l01899/SaaS/scripts/ext.frs/grid/dataobjectgrid.js?t=20120312043903	44
getById	5	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/data-foundation-debug.js?t=20111007011423	"1,572"
key	7	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"11,875"
suspendEvents	10	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"2,138"
set	162	4	0.1	0	0	0.03	1	0	http://pl-l01899/SaaS/scripts/ext.frs/ux/ext%20gantt/js/build/sch-gantt-base.js?t=20111007011431	15
afterEdit	63	2	0.05	0	0	0.03	1	0	http://pl-l01899/SaaS/scripts/ext.frs/ux/ext%20gantt/js/build/sch-gantt-base.js?t=20111007011431	19
JScript - window script block	152	1	0.02	0	0	0.01	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"12,254"
doEncode	152	1	0.02	0	0	0.01	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"12,152"
isDate	191	2	0.05	0	0	0.01	1	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	324
encodeDate	6	1	0.02	0	0	0.17	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"12,238"
Date.getMonth	12	0	0	0	0	0	0	0		0
pad	30	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"12,146"
Date.getDate	12	0	0	0	0	0	0	0		0
Date.getHours	24	0	0	0	0	0	0	0		0
Date.getMinutes	12	0	0	0	0	0	0	0		0
Date.getSeconds	6	0	0	0	0	0	0	0		0
resumeEvents	10	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"2,150"
onGridRecordUpdated	2	8	0.19	0	0	4	4	4	http://pl-l01899/SaaS/scripts/ext.frs/objectviewtoolbar.js?t=20120227063557	622
updateToolbarVisibility	2	8	0.19	0	0	4	4	4	http://pl-l01899/SaaS/scripts/ext.frs/objectviewtoolbar.js?t=20120227063557	629
setCommandEnabledState	8	6	0.14	0	0	0.75	1	0	http://pl-l01899/SaaS/scripts/ext.frs/objectviewtoolbar.js?t=20120227063557	358
onEnable	27	4	0.1	0	0	0.15	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-buttons-debug.js?t=20111007011423	562
updateToolbarItemState	2	6	0.14	0	0	3	3	3	http://pl-l01899/SaaS/scripts/ext.frs/objectviewtoolbar.js?t=20120227063557	371
evalExpressions	2	1	0.02	0	0	0.5	1	0	http://pl-l01899/SaaS/scripts/ext.frs/objectviewtoolbar.js?t=20120227063557	748
evalExpression	24	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/objectviewtoolbar.js?t=20120227063557	788
JScript - window script block	4	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/objectviewtoolbar.js?t=20120227063557	509
setDisabled	316	9	0.22	0	0	0.03	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"1,594"
JScript - window script block	20	1	0.02	0	0	0.05	1	0	http://pl-l01899/SaaS/scripts/ext.frs/objectviewtoolbar.js?t=20120227063557	537
getCount	315	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"11,825"
onUpdate	2	19	0.46	0	0	9.5	10	9	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"2,599"
refreshRow	2	19	0.46	0	0	9.5	10	9	http://pl-l01899/SaaS/scripts/ext.frs/grid/virtualgroupingview.js?t=20120312043903	224
getCount	82	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/data-foundation-debug.js?t=20111007011423	"2,090"
refreshRow	2	19	0.46	0	0	9.5	10	9	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"2,354"
indexOf	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/data-foundation-debug.js?t=20111007011423	"1,554"
insertRows	3	17	0.41	0	0	5.67	9	4	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"2,156"
renderRows	3	5	0.12	0	0	1.67	2	1	http://pl-l01899/SaaS/scripts/ext.frs/grid/virtualgroupingview.js?t=20120312043903	478
getColumnCount	12	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"3,568"
getColumnData	3	1	0.02	0	0	0.33	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"2,310"
getDataIndex	36	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"3,748"
getRenderer	36	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"3,630"
getRendererScope	36	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"3,637"
getColumnId	36	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"3,470"
getColumnStyle	36	1	0.02	0	0	0.03	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"2,206"
getColumnWidth	36	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"3,667"
isHidden	42	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"3,830"
getRange	3	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/data-foundation-debug.js?t=20111007011423	"1,591"
getRange	3	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"11,986"
doRender	3	4	0.1	0	0	1.33	2	1	http://pl-l01899/SaaS/scripts/ext.frs/grid/virtualgroupingview.js?t=20120312043903	603
getGroupField	3	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/grid/virtualgroupingview.js?t=20120312043903	471
superDoRender	3	4	0.1	0	0	1.33	2	1	http://pl-l01899/SaaS/scripts/ext.frs/grid/virtualgroupingview.js?t=20120312043903	527
getTotalWidth	3	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"2,229"
getTotalWidth	3	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"3,691"
IsEmptyObject	3	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/frs.31x.js?t=20120223125400	118
cellRenderer	36	3	0.07	0	0	0.08	1	0	http://pl-l01899/SaaS/scripts/ext.frs/grid/paginggrid.js?t=20120308034529	621
escapeHTML	20	1	0.02	0	0	0.05	1	0	http://pl-l01899/SaaS/lib/prototype-lite.js?t=20111007011428	355
translateDateFormat	6	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/grid/paginggrid.js?t=20120308034529	564
date	6	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"12,458"
dateFormat	6	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"11,142"
Function code	6	0	0	0	0	0	0	0		0
leftPad	6	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	860
compiled	3	0	0	0	0	0	0	0		0
getRow	24	2	0.05	0	0	0.08	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"1,545"
getRows	32	2	0.05	0	0	0.06	1	0	http://pl-l01899/SaaS/scripts/ext.frs/grid/virtualgroupingview.js?t=20120312043903	932
getRows	32	2	0.05	0	0	0.06	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"1,453"
syncFocusEl	6	23	0.55	0	0	3.83	7	1	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"2,099"
resolveCell	6	3	0.07	0	0	0.5	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"2,065"
getResolvedXY	6	20	0.48	0	0	3.33	7	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"2,091"
onRemove	3	18	0.43	0	0	6	7	5	http://pl-l01899/SaaS/scripts/ext.frs/grid/virtualgroupingview.js?t=20120312043903	162
onRemove	3	18	0.43	0	0	6	7	5	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"2,610"
removeRow	3	17	0.41	0	0	5.67	6	5	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"1,587"
removeAll	18	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"2,898"
onRowUpdated	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"4,085"
isSelected	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"4,259"
onStoreRecordUpdate	3	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/objectviewtoolbar.js?t=20120227063557	844
removeKey	3	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"11,817"
indexOfKey	13	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"11,843"
getFormValidationListData	5	47.01	1.13	0	0	9.4	25	0	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectform.js?t=20120301114824	193
JScript - window script block	23	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectform.js?t=20120301114824	202
_serializeNumberWithBuilder	97	1	0.02	0	0	0.01	1	0	http://pl-l01899/SaaS/lib/microsoftajax.js?t=20111007011421	"2,013"
GetFormValidationListData	2	34	0.82	0	0	17	18	16	http://pl-l01899/SaaS/Services/FormService.asmx/jsdebug?RV=1_9_0_000	87
_get_path	30	0	0	0	0	0	0	0	http://pl-l01899/SaaS/Services/FormService.asmx/jsdebug?RV=1_9_0_000	10
_serializeBooleanWithBuilder	20	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/microsoftajax.js?t=20111007011421	"2,010"
Boolean.toString	20	0	0	0	0	0	0	0		0
eval code	1	0	0	0	0	0	0	0		0
hide	1	1	0.02	0	0	1	1	1	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tips-debug.js?t=20111007011424	893
hide	1	1	0.02	0	0	1	1	1	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tips-debug.js?t=20111007011424	533
onHide	1	1	0.02	0	0	1	1	1	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tips-debug.js?t=20111007011424	637
onHide	3	15	0.36	0	0	5	8	1	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"9,213"
focus	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-buttons-debug.js?t=20111007011423	679
handler	1	205.02	4.94	0	0	205.02	205.02	205.02	http://pl-l01899/SaaS/scripts/ext.frs/data/pendingchanges.js?t=20120312043903	705
undo	1	205.02	4.94	0	0	205.02	205.02	205.02	http://pl-l01899/SaaS/scripts/ext.frs/data/pendingchanges.js?t=20120312043903	640
onPendingChangesNotify	155	7	0.17	0	0	0.05	1	0	http://pl-l01899/SaaS/scripts/saas.webui/objectlayout/objectlayoutpanel.js?t=20120312043903	581
