Function	Count	Inclusive Time (ms)	Inclusive Time %	Exclusive Time (ms)	Exclusive Time %	Avg Time (ms)	Max Time (ms)	Min Time (ms)	URL	Line Number
append	"10,170"	7	0.17	7	0.17	0	1	0	http://pl-l01899/SaaS/lib/microsoftajax.js?t=20111007011421	"1,185"
each	279	685.07	16.49	7	0.17	2.46	72.01	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"11,715"
updateFieldReadOnlyState	"1,312"	538.05	12.95	7	0.17	0.41	40	0	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectform.js?t=20120301114824	"2,126"
Function.call	"23,672"	"3,061.31"	73.69	6	0.14	0.13	725.07	0		0
Array	"8,980"	6	0.14	6	0.14	0	1	0		0
getAppCookie	14	8	0.19	6	0.14	0.57	1	0	http://pl-l01899/SaaS/scripts/ext.frs/session.js?t=20120301074919	306
listen	502	36	0.87	6	0.14	0.07	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"2,731"
getId	534	16	0.39	6	0.14	0.03	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"2,584"
ret	502	6	0.14	6	0.14	0.01	1	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	"1,195"
Component	292	105.01	2.53	6	0.14	0.36	25	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	293
onRender	12	396.04	9.53	6	0.14	33	363.04	1	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"8,880"
setIconClass	24	11	0.27	6	0.14	0.46	2	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-buttons-debug.js?t=20111007011423	390
getFrameHeight	11	7	0.17	6	0.14	0.64	4	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"9,555"
handleHdOver	1	7	0.17	6	0.14	7	7	7	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"2,809"
String.match	783	5	0.12	5	0.12	0.01	1	0		0
addListener	878	13	0.31	5	0.12	0.02	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"2,048"
garbageCollect	1	5	0.12	5	0.12	5	5	5	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"4,482"
onDisableChange	34	9	0.22	5	0.12	0.27	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-buttons-debug.js?t=20111007011423	566
isControlDataIndexRequired	"1,352"	5	0.12	5	0.12	0	1	0	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectform.js?t=20120301114824	674
getScroll	34	4	0.1	4	0.1	0.12	3	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	"1,293"
String.indexOf	"6,549"	4	0.1	4	0.1	0	1	0		0
Array.join	870	4	0.1	4	0.1	0.01	1	0		0
isString	"7,280"	4	0.1	4	0.1	0	1	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	349
isArray	"2,723"	6	0.14	4	0.1	0	1	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	319
select	254	38	0.92	4	0.1	0.15	4	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"1,394"
chkCache	"2,497"	4	0.1	4	0.1	0	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"5,617"
findListener	819	4	0.1	4	0.1	0.01	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"2,266"
addStyles	582	39	0.94	4	0.1	0.07	3	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"6,028"
RegExp.test	"4,429"	4	0.1	4	0.1	0	1	0		0
